GlobalRanking,Movie Title,ReleaseYear,Director,MPAARating
166,No Country for Old Men,2007,Joel & Ethan Coen,R
167,Laura,1944,Otto Preminger,NR
168,The Great Escape,1963,John Sturges,NR
169,Dog Day Afternoon,1975,Sidney Lumet,R
170,To Kill a Mockingbird,1962,Robert Mulligan,NR
171,Stalag 17,1953,Billy Wilder,NR
172,All the President's Men,1976,Alan J. Pakula,PG
173,Charade,1963,Stanley Donen,NR
174,Whiplash,2014,Damien Chazelle,R
175,E.T.: The Extra-Terrestrial,1982,Steven Spielberg,PG
176,In the Mood for Love,2000,Wong Kar-Wai,PG
177,Back to the Future Part II,1989,Robert Zemeckis,PG
178,Willy Wonka & the Chocolate Factory,1971,Mel Stuart,G
179,The Hustler,1961,Robert Rossen,NR
180,Manhattan,1979,Woody Allen,R
181,Fanny and Alexander,1982,Ingmar Bergman,R
182,The Best Years of Our Lives,1946,William Wyler,NR
183,Ran,1985,Akira Kurosawa,R
184,Bride of Frankenstein,1935,James Whale,NR
185,Scarface,1983,Brian De Palma,R
186,Dial M for Murder,1954,Alfred Hitchcock,NR
187,Brief Encounter,1945,David Lean,NR
188,The Lady Vanishes,1938,Alfred Hitchcock,NR
189,The French Connection,1971,William Friedkin,R
190,12 Monkeys,1995,Terry Gilliam,R
191,The Wild Bunch,1969,Sam Peckinpah,R
192,The Hidden Fortress,1958,Akira Kurosawa,NR
193,The Life and Death of Colonel Blimp,1943,"Michael Powell, Emeric Pressburger",NR
194,Young Frankenstein,1974,Mel Brooks,PG
195,The Bridge on the River Kwai,1957,David Lean,PG
196,City of God,2002,"Fernando Meirelles, KÃ¡tia Lund",R
197,American Beauty,1999,Sam Mendes,R
198,Life of Brian,1979,Terry Jones,R
199,The Battle of Algiers,1966,Gillo Pontecorvo,NR
200,Iron Man,2008,Jon Favreau,PG13
201,Braveheart,1995,Mel Gibson,R
202,To Be or Not to Be,1942,Ernst Lubitsch,NR
203,Singin' in the Rain,1952,"Stanley Donen, Gene Kelly",NR
204,The Goonies,1985,Richard Donner,PG
205,Witness for the Prosecution,1957,Billy Wilder,NR
206,Miller's Crossing,1990,Joel & Ethan Coen,R
207,The Prestige,2006,Christopher Nolan,PG13
208,Airplane!,1980,"Jim Abrahams, David Zucker, Jerry Zucker",PG
209,The Long Goodbye,1973,Robert Altman,R
210,High Noon,1952,Fred Zinnemann,NR
211,Some Like It Hot,1959,Billy Wilder,PG13
212,My Man Godfrey,1936,Gregory La Cava,NR
213,The King of Comedy,1982,Martin Scorsese,PG
214,"Paris, Texas",1984,Wim Wenders,R
215,Roman Holiday,1953,William Wyler,NR
216,Django Unchained,2012,Quentin Tarantino,R
217,The Deer Hunter,1978,Michael Cimino,R
218,Arsenic and Old Lace,1944,Frank Capra,NR
219,The Blues Brothers,1980,John Landis,NR
220,The Magnificent Seven,1960,John Sturges,NR
221,The Untouchables,1987,Brian De Palma,R
222,The Shop Around the Corner,1940,Ernst Lubitsch,NR
223,Sanjuro,1962,Akira Kurosawa,PG13
224,Rain Man,1988,Barry Levinson,R
225,WALLÂ·E,2008,Andrew Stanton,PG
226,Grave of the Fireflies,1988,Isao Takahata,NR
227,Who's Afraid of Virginia Woolf?,1966,Mike Nichols,NR
228,Mad Max: Fury Road,2015,George Miller (II),R
229,Black Narcissus,1947,"Michael Powell, Emeric Pressburger",NR
230,Predator,1987,John McTiernan,R
231,A Night at the Opera,1935,Sam Wood,NR
232,Bonnie and Clyde,1967,Arthur Penn,R
233,The Exorcist,1973,William Friedkin,R
234,NausicaÃ¤ of the Valley of the Wind,1984,Hayao Miyazaki,PG
235,Stagecoach,1939,John Ford,NR
236,Blazing Saddles,1974,Mel Brooks,R
237,Come and See,1985,Elem Klimov,NR
238,The Sixth Sense,1999,M. Night Shyamalan,PG13
239,The Incredibles,2004,Brad Bird,PG
240,Finding Nemo,2003,Andrew Stanton,G
241,Barry Lyndon,1975,Stanley Kubrick,PG
242,The Bourne Identity,2002,Doug Liman,PG13
243,Avengers: Endgame,2019,"Anthony Russo, Joe Russo",PG13
244,Trainspotting,1996,Danny Boyle,NR
245,Chungking Express,1994,Wong Kar-Wai,PG13
246,Suspiria,1977,Dario Argento,R
247,Repulsion,1965,Roman Polanski,NR
248,The Avengers,2012,Joss Whedon,PG13
249,The 39 Steps,1935,Alfred Hitchcock,NR
250,Batman,1989,Tim Burton,PG13
